emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,purpose,interest_payments,interest_rate,grade,dti,installment,region
7,MORTGAGE,Low,45000,20000, 60 months,debt_consolidation,Low,9.99,B,13.36,424.85,ulster
0.5,OWN,Medium,145000,7475, 60 months,debt_consolidation,High,13.72,C,17.39,172.85,leinster
0.5,MORTGAGE,Medium,120000,5575, 36 months,small_business,High,15.2,D,16.4,193.81,Northern-Irl
0.5,RENT,Medium,120000,2150, 60 months,debt_consolidation,High,14.83,D,6.16,50.96,Northern-Irl
0.5,MORTGAGE,Medium,140000,7050, 60 months,moving,Low,12.98,C,4.26,160.34,ulster
0.5,RENT,Medium,140000,7375, 60 months,major_purchase,High,17.43,E,5.25,185,Northern-Irl
0.5,RENT,Low,37500,1375, 36 months,credit_card,Low,6.91,A,12.03,42.4,leinster
0.5,RENT,Low,71000,9050, 60 months,debt_consolidation,High,13.72,C,24.05,209.27,leinster
0.5,RENT,Low,42000,1900, 60 months,debt_consolidation,Low,9.99,B,23.06,40.37,leinster
0.5,MORTGAGE,High,325000,6525, 60 months,small_business,High,16.32,E,6.4,159.79,Northern-Irl
0.5,RENT,Low,52000,5975, 36 months,other,High,14.46,D,19.52,205.55,ulster
0.5,MORTGAGE,Medium,100128,1950, 36 months,credit_card,Low,9.99,B,13.1,62.92,ulster
0.5,MORTGAGE,Low,90000,8875, 60 months,small_business,High,17.43,E,10.84,222.63,Northern-Irl
0.5,MORTGAGE,Low,50000,8125, 60 months,credit_card,High,13.35,C,6.02,186.33,ulster
0.5,MORTGAGE,Low,23500,4125, 60 months,debt_consolidation,Low,9.99,B,11.95,87.63,munster
0.5,RENT,Low,46300,1675, 36 months,debt_consolidation,Low,6.54,A,16.07,51.37,leinster
0.5,RENT,Low,71004,2375, 36 months,credit_card,Low,9.25,B,8.4,75.81,ulster
10,RENT,Low,50000,20000, 36 months,debt_consolidation,High,20.4,G,12.86,747.36,ulster
0.5,RENT,Low,28800,6200, 36 months,credit_card,Low,12.23,C,12.17,206.62,cannught
5,MORTGAGE,Medium,115000,24000, 60 months,home_improvement,Low,9.99,B,6.44,509.82,munster
2,MORTGAGE,Medium,120000,13000, 36 months,credit_card,Low,9.99,B,8.31,419.42,ulster
10,MORTGAGE,Medium,130000,11000, 36 months,home_improvement,Low,9.62,B,2.32,352.98,Northern-Irl
7,RENT,Low,27024,2500, 36 months,debt_consolidation,High,16.69,E,5.24,88.75,ulster
2,RENT,Low,37000,7000, 36 months,vacation,Low,9.99,B,23.77,225.84,Northern-Irl
8,MORTGAGE,Low,100000,16000, 36 months,credit_card,Low,6.17,A,0,487.99,Northern-Irl
3,RENT,Low,68298,11500, 36 months,credit_card,Low,6.54,A,22.86,352.68,leinster
6.05,MORTGAGE,Low,48000,3000, 36 months,home_improvement,Low,6.17,A,0.9,91.5,munster
1,MORTGAGE,Low,58000,5500, 60 months,debt_consolidation,Low,10.36,B,19.47,117.84,Northern-Irl
